# idioma	tipo	contexto	enunciado	fonte
PORTUGUES	TRANSFORMACAO_MEDIDAS	Figurinhas	Maria faz coleção de figurinhas. Ela tem 32 figurinhas. Sua mãe a presenteou com mais 22 figurinhas. Quantas figurinhas Maria tem em sua coleção agora?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Frutas e verduras	Maria foi fazer compras na feira com R$ 25,00. Gastou R$ 18,00 comprando frutas e verduras. Com quantos reais Maria ficou após a feira?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Frutas	Nádia comprou dez morangos, sua irmã comeu três. Com quantos morangos Nádia ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Balas	Leandro tinha 10 balas. Lucas, seu irmão, pegou algumas balas escondidas de Leandro. Quando Leandro foi comer suas balas só restavam 6 balas. Quantas balas Lucas comeu?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Bolas	Paulo tinha seis bolas pela manhã. Ele ganhou oito à tarde. Com quantas bolas ele ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Dinheiro e brinquedos	Andréa tinha economizado dezesseis reais para comprar uma boneca. Sua tia deu-lhe mais cinco reais. Com quanto Andréa ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Figurinhas	Lucas ganhou 12 figurinhas de seu tio. Ele possui agora 17 figurinhas. Quantas figurinhas ele tinha antes de ganhar as figurinhas do tio?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Selos	Pedro coleciona selos. Hoje ganhou 23 selos ficando com 417 selos na sua coleção. Quantos selos ele tinha antes?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Bonecas	Karla coleciona fofoletes. Mês passado, ela tinha 25 fofoletes. Hoje ela contou sua coleção e viu que já possui 34. Quantas fofoletes ela ganhou desde o mês passado?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Bolas de Gude	Paulo tinha dezesseis bolas de gude. Ele deu 5 para seu irmão Pedro. Com quantas bolas ele ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Dinheiro	Mônica foi à feira com R$73,00 e voltou com R$18,00. Quanto Mônica gastou na feira?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Figurinhas	Lucas perdeu 12 figurinhas para o João no jogo de bafo. Ele possui agora 17 figurinhas. Quantas figurinhas ele tinha antes?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Dinheiro	Larissa possuía R$20,00, ganhou mais R$ 35,00 de sua avó. Com quanto dinheiro ela ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Dinheiro	Ícaro tinha R$5,00, pagou o ônibus que custava R$1,00 a passagem. Quanto ele recebeu de troco?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Alunos	Em uma sala, há 20 alunos no começo da aula. Cinco alunos chegaram atrasados. Quantos alunos ficaram no final da aula?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Flores	Num buquê de rosas existem 10 rosas: 5 rosas brancas e 5 rosas vermelhas. Foram tiradas 3 rosas. Quantas rosas restaram no buquê?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Festa	Joana convidou 20 amiguinhos da escola para sua festa de aniversário. Na hora de cantar Parabéns apareceram também seu pai e sua mãe. Quantas pessoas estavam na festa?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Dinheiro	Priscila tinha R$10,00, emprestou R$3,00 para dois amigos. Com quantos reais Priscila ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Fivelas	Alice tem sete fivelas, ganhou mais quatro de sua mãe. Quantas fivelas Alice tem agora?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Brinquedos	Felipe tinha sete carrinhos, perdeu três em uma brincadeira. Quantos carrinhos Felipe tem agora?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Alimentos	Na dispensa havia 15kg de arroz. Já foram utilizados 7kg. Quantos quilos de arroz ainda tenho?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Frutas	Em uma caixa Lia guarda 5 maçãs. Foram postas nela outras duas maçãs. Quantas maçãs existem agora na caixa?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Brinquedos	Em uma loja havia 8 carrinhos para vender. Foram vendidos 6 carrinhos. Quantos sobraram?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Livros	Raquel tinha quatro livros, sua mãe lhe deu mais cinco, com quantos livros Raquel ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Refrigerantes	Rafael tinha dez refrigerantes e João tomou seis. Quantos refrigerantes restaram?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Anéis	Priscila tinha dois anéis, comprou 3, com quantos ficou?	pdf
PORTUGUES	COMPOSICAO_TRANSFORMACAO_MEDIDAS	Flores	Vovó possui 2 rosas brancas e 3 rosas amarelas. Deu 1 rosa branca e 1 rosa amarela para a sua netinha. Com quantas rosas vovó ficou?	pdf
PORTUGUES	COMPOSICAO_TRANSFORMACAO_MEDIDAS	Mesas	Em uma sala havia cinco mesas redondas e quatro mesas quadradas. Foi tirada da sala duas mesas redondas e uma mesa quadrada. Quantas mesas ficaram?	pdf
PORTUGUES	TRANSFORMACAO_COMPOSTA_DOIS_PASSOS	Guloseimas	Geisa tinha uma caixa com 35 chocolates. Comeu 2 ontem e 5 hoje. Quantos chocolates ainda tem?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Bolas de gude	Ricardo saiu para jogar bola de gude. Ao sair de casa ele possuía 2 bolas. Ao voltar, ele tinha 6 bolas. O que aconteceu no jogo?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Frutas	Maria tinha 4 maçãs, comprou 6 bananas. Com quantas frutas ficou?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Bolas	Paulo tem seis bolas de vidro e oito de aço. Quantas bolas ele tem ao todo?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Figurinhas	Lucas tem 12 figurinhas do Pokémon e 25 do Digimon. Quantas figurinhas ele tem ao todo?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Bonecas	Lívia tem 7 fofoletes, Deborah tem 12 fofoletes. Quantas fofoletes elas têm em conjunto?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Bolas	Paulo tem 17 bolas azuis e vermelhas. Se ele tem 11 bolas azuis, quantas bolas vermelhas ele tem?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Figurinhas	Lucas tem 19 figurinhas de Pokémon e Digimon. Se ele tem 6 figurinhas de Pokémon, quantas figurinhas de Digimon ele tem?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Roupas	Ana ganhou em sua festa de aniversário 2 vestidos vermelhos e 5 vestidos amarelos. Quantos vestidos Ana ganhou ao todo?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Figurinhas	Paulo tem cinco figurinhas. Luis tem sete. Quantas figurinhas Paulo e Luis têm ao todo?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Ovos	Numa caixa existem 12 ovos sendo que 3 vieram quebrados. Quantos ovos inteiros tem na caixa?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Chaves	O pai de Adriana tem um chaveiro com 3 chaves de prata e 2 chaves de ouro. Qual o total de chaves que o pai de Adriana tem no chaveiro?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Bolas	Alex tem uma caixa com 80 bolinhas de gude. Sendo que 30 bolinhas são verdes e as outras azuis. Quantas são as bolinhas azuis?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Álbum	Yuri tinha dois álbuns com 20 figurinhas ao todo. Se em um álbum tinha 8 figurinhas, quantas terá o outro?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Bonecas	Joana tem 10 bonecas, sua irmã tem 5. Quantas bonecas têm as duas irmãs?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Cadeiras	Numa sala de aula tem 30 cadeiras, 5 estão quebradas. Quantas podem ser usadas pelos alunos?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Cordão	Num cordão há 7 continhas azuis e 3 continhas brancas. Quantas continhas têm ao todo no cordão?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Roupas	Natália guarda 3 saias em uma gaveta e 7 em outra gaveta. Quantas saias Natália possui?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Borrachas	Marina tem quatro borrachas azuis, três amarelas, duas verdes e cinco vermelhas. Quantas borrachas Marina tem?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Frutas	Numa cesta há sete laranjas e oito bananas. Quantas frutas tinha na cesta?	pdf
PORTUGUES	COMPOSICAO_MEDIDAS	Roupas	Comprei dois vestidos e ganhei duas blusas. Quantas peças de roupa tenho?	pdf
PORTUGUES	COMPARACAO_MEDIDAS	Bolas	Paulo tem seis bolas. José tem oito bolas a mais que Paulo. Quantas bolas tem José?	pdf
PORTUGUES	COMPARACAO_MEDIDAS	Carrinhos	Marcus e Jardel colecionam carrinhos em miniatura. Marcus tem 23 carrinhos e Jardel tem 11 carrinhos. Quantos carrinhos a menos Jardel tem?	pdf
PORTUGUES	COMPARACAO_MEDIDAS	Dinheiro	Ingrid tem 12 reais a mais que Ligianne. Se Ligianne possui 27 reais, quantos reais Ingrid tem?	pdf
PORTUGUES	COMPARACAO_MEDIDAS	CDs	Jammes tem 17 CDs. Ela tem 12 CDs a menos que Gisele. Quantos CDs Gisele tem?	pdf
PORTUGUES	COMPARACAO_MEDIDAS	Dinheiro	Claudia tem 15 reais. Ela tem 7 reais a mais que Joana. Quantos reais Joana tem?	pdf
PORTUGUES	COMPARACAO_MEDIDAS	Dinheiro	Claudenice tem 14 reais a menos que Nádia. Nádia tem 27 reais. Quantos reais Claudenice tem?	pdf
PORTUGUES	COMPOSICAO_TRANSFORMACOES	Bolas	João jogou duas partidas de bila. Na segunda ele ganhou 12 bolas. Ao final das duas partidas ele tinha ganhado 22. Quantas bilas ele ganhou na primeira partida?	pdf
PORTUGUES	COMPOSICAO_TRANSFORMACOES	Bolas	João jogou duas partidas de bila. Na segunda ele ganhou 12 bolas. Ao final das duas partidas ele tinha perdido 5. Quantas bilas ele perdeu na primeira partida?	pdf
PORTUGUES	COMPOSICAO_TRANSFORMACOES	Figurinhas	Manuel ganhou de Antônio 12 figurinhas do Pokémon de João. Mais tarde Manuel ganhou mais 5 figurinhas de Aninha. Manuel ganhou quantas figurinhas ao todo?	pdf
PORTUGUES	COMPOSICAO_TRANSFORMACOES	Figurinhas	Manuel ganhou de Antônio 12 figurinhas do Pokémon de João. Mais tarde Manuel perdeu 5 figurinhas para Aninha. Manuel ganhou quantas figurinhas ao todo?	pdf
PORTUGUES	COMPOSICAO_TRANSFORMACOES	Figurinhas	Numa primeira partida Maria perdeu 7 figurinhas. Ao final da segunda partida ela tinha ganho ao todo 4 figurinhas. Quantas figurinhas ela ganhou na segunda partida?	pdf
PORTUGUES	COMPOSICAO_TRANSFORMACOES	Pontuação	Em um jogo, Paulo ganhou 8 pontos na primeira rodada e perdeu 3 pontos na segunda. Qual foi a transformação total em sua pontuação?	pdf
PORTUGUES	TRANSFORMACAO_COMPOSTA_DOIS_PASSOS	Chocolates	Geisa tinha uma caixa com 25 chocolates. Comeu 2 ontem e 5 hoje. Quantos chocolates ainda tem?	pdf
PORTUGUES	TRANSFORMACAO_RELACAO	Bonecas	Julia tem 3 bonecas a mais que Maria. A mãe de Maria comprou mais 5 bonecas para ela. Quantas bonecas Maria ficou a mais que Julia?	pdf
PORTUGUES	TRANSFORMACAO_RELACAO	Figurinhas	Ana tem 5 figurinhas a mais que Bia. Depois Ana ganhou mais 4 figurinhas. Quantas figurinhas a mais Ana passou a ter que Bia?	pdf
PORTUGUES	COMPOSICAO_RELACOES	Dinheiro	Carlos tem 7 reais a mais que João. João tem 2 reais a menos que Pedro. Qual é a relação entre a quantia de Carlos e a de Pedro?	pdf
PORTUGUES	COMPOSICAO_RELACOES	Idades	Maria é 4 anos mais velha que João. João é 2 anos mais velho que Carla. Qual é a diferença de idade entre Maria e Carla?	pdf
INGLES	COMPOSICAO_MEDIDAS	Figurinhas	Lucas has 12 Pokémon cards and 25 Digimon cards. How many cards does he have in all?	gerard
INGLES	TRANSFORMACAO_MEDIDAS	Bolas de gude	Ricardo went out to play marbles. When he left home, he had 2 marbles. When he returned, he had 6 marbles. What happened in the game?	gerard
INGLES	COMPARACAO_MEDIDAS	Dinheiro	Glaudenice has 14 reais less than Nádia. Nádia has 27 reais. How many reais does Glaudenice have?	gerard
INGLES	COMPOSICAO_TRANSFORMACOES	Pontuação	In a game, Paul won 8 points in the first round and lost 3 points in the second round. What was the total change in his score?	gerard
INGLES	TRANSFORMACAO_RELACAO	Figurinhas	Ana has 5 more stickers than Bia. Then Ana won 4 more stickers. How many more stickers does Ana have than Bia now?	gerard
INGLES	COMPOSICAO_RELACOES	Dinheiro	Carlos has 7 reais more than João. João has 2 reais less than Pedro. What is the relation between Carlos's amount and Pedro's amount?	gerard
FRANCES	COMPOSICAO_MEDIDAS	Figurinhas	Lucas a 12 images de Pokémon et 25 images de Digimon. Combien d'images a-t-il en tout ?	gerard
FRANCES	TRANSFORMACAO_MEDIDAS	Billes	Ricardo est sorti jouer aux billes. En quittant la maison, il avait 2 billes. En revenant, il avait 6 billes. Que s'est-il passé dans le jeu ?	gerard
FRANCES	COMPARACAO_MEDIDAS	Argent	Glaudenice a 14 reais de moins que Nádia. Nádia a 27 reais. Combien de reais Glaudenice a-t-elle ?	gerard
FRANCES	COMPOSICAO_TRANSFORMACOES	Score	Dans un jeu, Paul a gagné 8 points au premier tour et a perdu 3 points au deuxième tour. Quelle a été la transformation totale de son score ?	gerard
FRANCES	TRANSFORMACAO_RELACAO	Images	Ana a 5 images de plus que Bia. Ensuite Ana a gagné 4 images de plus. Combien d'images de plus Ana a-t-elle maintenant que Bia ?	gerard
FRANCES	COMPOSICAO_RELACOES	Argent	Carlos a 7 reais de plus que João. João a 2 reais de moins que Pedro. Quelle est la relation entre la somme de Carlos et celle de Pedro ?	gerard
